Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,1.9470,1.9470,1.8980,1.9060,1.9060,0
2019-12-18,1.8910,1.9340,1.8840,1.9240,1.9240,0
2019-12-17,1.8610,1.8940,1.8560,1.8890,1.8890,0
2019-12-16,1.8490,1.8940,1.8450,1.8920,1.8920,0
